Estació,Mitjanaanual,Gen.,Feb.,Mar.,Abr.,Mai.,Jun.,Jul.,Ago.,Set.,Oct.,Nov.,Des.
2008,36,42,50,38,39,34,37,37,32,32,39,29,25
2009,37,26,37,45,30,41,45,40,40,34,36,39,29
2010,29,23,25,39,34,28,30,35,26,26,28,24,29
2011,32,36,36,33,37,34,29,28,32,29,33,29,26
2012,31,31,36,42,23,29,33,30,33,29,31,29,25
Gràcia-Sant Gervasi,38,42,43,51,31,33,38,40,41,34,39,32,30
Poblenou,31,35,39,40,23,29,32,30,30,28,31,30,28
Sants,38,34,35,54,28,35,44,39,52,38,33,30,29
Eixample,33,34,36,42,29,32,35,29,31,29,36,33,28
Zona Universitària,28,27,32,40,19,26,27,24,25,26,32,27,25
Plaça Universitat,33,35,42,43,28,31,32,28,29,30,35,32,28
Vall d'Hebron,24,21,27,31,19,21,-,26,-,22,27,23,21
IES Verdaguer,31,33,33,46,23,31,32,29,-,34,31,35,26
IES Goya,27,28,32,43,21,26,27,24,36,23,28,22,21
