Perfil,2008,2009,2010,2011,2012
Sexe,100,0,100,0,100,0,100,0,100,0
% homes,60,2,60,1,60,4,62,4,58,7
% dones,39,8,39,9,39,6,37,6,41,3
Motiu viatge,100,0,100,0,100,0,100,0,100,0
% negocis (1),48,4,41,9,42,0,42,0,41,0
% vacances,48,1,50,0,50,1,50,0,50,4
% altres,3,5,8,1,7,9,8,0,8,6
País de procedència,100,0,100,0,100,0,100,0,100,0
% Espanya,29,2,31,1,27,7,23,6,21,8
% Catalunya,7,8,8,2,7,2,5,8,5,7
% Madrid,6,6,7,1,7,1,5,6,4,7
% Andalusia,2,6,2,6,2,4,2,2,1,9
% C. Valenciana,2,4,2,5,2,1,2,0,-
% Altres,9,8,10,7,8,9,8,0,9,5
% Resta del món,70,8,68,9,72,3,76,4,78,2
% Estats Units d'Amèrica,7,0,7,4,7,7,8,2,8,5
% França,6,8,7,7,8,0,8,0,7,7
% Itàlia,8,2,8,4,7,9,7,6,6,6
% Regne Unit,10,1,8,1,7,5,7,2,8,0
% Alemanya,5,2,5,2,5,1,5,4,5,6
% Japó,2,0,2,1,2,1,2,1,2,2
% Resta Amèrica,4,7,4,9,6,5,7,7,7,4
% Altres,26,8,25,1,27,5,30,2,32,2
Mitjà de transport,100,0,100,0,100,0,100,0,100,0
% avió,79,2,74,5,75,8,75,7,74,4
% ferrocarril,7,7,12,3,11,2,12,5,12,5
% cotxe,9,5,9,2,8,4,7,3,7,4
% autocar,2,5,3,1,3,8,4,3,5,5
% altres,1,1,0,9,0,8,0,2,0,2
Planificació del viatge,100,0,100,0,-,-,-
% pel seu compte,44,9,40,9,-,-,-
% parcialment amb TTOO/AAVV,3,5,6,2,-,-,-
% tot viatge TTOO/AAVV,14,8,17,0,-,-,-
% organitzat per l'empresa,36,8,35,9,-,-,-
Distribució segons categoria de l'hotel,,,,,
5 estrelles,-,13,6,-,-,-
4 estrelles,-,52,8,-,-,-
3 estrelles,-,23,8,-,-,-
2 estrelles,-,6,6,-,-,-
1 estrella,-,3,2,-,-,-
Mitjana de la despesa,,,,,
Cost del viatge (€),-,211,1,-,-,-
Cost diari allotjament (€),-,93,1,-,-,-
Despesa extrahotelera persona i dia (€),-,93,4,-,-,-
Cost del paquet turístic,-,1.746,4,-,-,-
