,Barcelona,ProvínciaBarcelona,Catalunya,Espanya
2005,8,5,9,2,8,1,6,1
Gener,16,2,13,8,8,6,3,3
Febrer,4,3,1,3,3,8,3
Març,1,3,-3,5,-7,6,-9,6
Abril,25,8,24,2,19,3,22,7
Maig,12,9,13,4,13,9,9,3
Juny,14,1,13,5,16,5,5,5
Juliol,-9,1,-3,4,-5,7,0,2
Agost,13,6,19,8,18,1,12,5
Setembre,-14,1,-0,8,2,6,5,5
Octubre,15,8,9,2,6,2,6
Novembre,-8,4,-5,2,1,5,7,7
Desembre,33,8,36,6,29,5,15,4
2006,2,3,2,7,4,5,7,2
Gener,8,4,16,4,20,6,15,4
Febrer,5,2,1,1,0,8,3,9
Març,-0,1,4,2,12,8,24
Abril,-27,3,-25,8,-22,6,-16,1
Maig,21,7,23,18,4,10,4
Juny,0,1,3,8,3,7,6,7
Juliol,29,2,18,3,17,7,8,7
Agost,15,2,11,6,10,5,21,1
Setembre,-9,8,-8,2,-6,-0,5
Octubre,-0,9,4,5,10,3,11,6
Novembre,20,9,13,1,7,5,11,3
Desembre,-22,4,-19,7,-13,6,-6,2
2007,-8,6,-7,8,-8,2,-4,2
Gener,0,6,-1,8,-2,8,8
Febrer,6,1,10,6,10,3,8,4
Març,12,4,8,4,1,2,-2,2
Abril,8,4,10,7,7,3,10
Maig,-18,2,-14,9,-11,7,-4,2
Juny,-3,8,-4,-7,1,-9,6
Juliol,-24,3,-19,3,-13,1,-0,9
Agost,-14,-12,5,-10,6,-10,4
Setembre,-16,9,-18,1,-20,9,-10,3
Octubre,-18,3,-19,-18,2,-11
Novembre,-12,7,-11,-13,2,-15,4
Desembre,-30,2,-34,6,-32,4,-18,5
2008,-16,6,-24,7,-26,4,-27,5
Gener,-16,2,-17,6,-19,3,-21,3
Febrer,-13,6,-18,-24,6,-16,4
Març,-36,1,-39,6,-37,3,-39,6
Abril,-4,4,-12,8,-11,6,-10,5
Maig,-24,4,-31,5,-31,6,-32,4
Juny,-31,2,-37,5,-37,9,-31,7
Juliol,-28,-35,1,-36,4,-26,2
Agost,-10,-24,4,-26,1,-36,5
Setembre,7,4,-7,8,-13,3,-20,6
Octubre,12,3,-8,6,-15,4,-32,2
Novembre,-20,7,-31,9,-33,-38,1
Desembre,3,8,-8,4,-15,4,-24,6
2009,-19,9,-20,9,-22,1,-24,5
Gener,-36,4,-39,7,-41,8,-44,9
Febrer,-25,4,-29,9,-29,8,-36,4
Març,-9,4,-14,9,-16,7,-13,9
Abril,-36,7,-38,4,-39,1,-43
Maig,-21,-25,2,-26,1,-28,7
Juny,-14,2,-19,9,-18,6,-17
Juliol,-8,6,-8,1,-12,9,-24,5
Agost,-21,3,-20,8,-24,-19,7
Setembre,-32,5,-27,9,-21,6,-27,2
Octubre,-19,3,-8,1,-11,6,-8,9
Novembre,2,9,4,4,3,3,4,6
Desembre,-8,6,2,6,-0,2,-1,1
2010,-2,1,-0,5,-1,5,2,3
Gener,-10,4,-11,6,-5,9,-3,3
Febrer,-11,-11,2,-9,2,2,2
Març,-3,1,-0,6,-0,4,3,8
Abril,20,4,17,3,12,7,14,6
Maig,0,2,8,1,4,4,14
Juny,6,3,21,9,14,4,3
Juliol,4,2,-0,5,-1,5,9,2
Agost,-6,1,-6,6,-6,1,4
Setembre,25,4,15,6,4,9,-2,5
Octubre,-8,8,-14,9,-15,9,-12,6
Novembre,-25,6,-15,8,-14,7,-3,9
Desembre,2,2,3,9,4,1,-3,2
2011,5,3,8,4,8,8,6
Gener,24,3,24,4,15,4,13,7
Febrer,1,4,9,1,11,3,2,7
Març,-4,4,2,1,2,2,6,8
Abril,-11,5,-3,8,-3,1,-5,2
Maig,14,1,14,1,14,6,5,1
Juny,8,5,1,6,2,8,6,8
Juliol,-8,6,2,1,3,4,-3
Agost,6,9,9,5,14,5,9,4
Setembre,17,8,22,9,24,1,10,4
Octubre,9,2,14,6,16,3,16,1
Novembre,23,2,19,15,1,8,5
Desembre,-1,8,-2,9,-0,6,6,6
2012,4,9,4,4,3,5,2,7
Gener,17,1,10,6,13,4,11,6
Febrer,13,9,8,6,3,5,3,2
Març,6,0,4,0,2,-6,2
Abril,6,8,1,2,4,-0,7
Maig,-4,5,-3,4,-2,9,-0,9
Juny,23,4,20,9,17,4,-1
Juliol,11,1,10,9,9,2,6,6
Agost,-16,9,-12,1,-10,3
Setembre,-11,7,-5,9,-9,3,8
Octubre,10,4,19,6,18,1,18,2
Novembre,12,2,15,2,12,7,4,8
Desembre,-13,3,-14,4,-14,-5
2013,5,10,4,9,4,7,2
Gener,5,3,20,6,16,3,11,3
Febrer,1,7,9,2,8,8,5,2
Març,-5,1,0,7,-2,1,-4,6
Abril,20,4,20,6,20,30,6
Maig,13,3,15,12,3,10,2
Juny,-17,1,-14,8,-13,3,0,8
Juliol,24,4,28,9,26,7,16,7
Agost,17,9,18,8,13,8,3,9
Setembre,3,9,4,4,9,2,5,4
Octubre,7,8,7,3,8,1,2,9
Novembre,-6,2,-7,-5,1,-3,1
Desembre,6,36,1,30,1,11,4
2014,,,,
Gener,18,7,8,1,4,1,1,2
Febrer,-1,5,-1,1,0,3,8
