,Nivell de seguretat al barri (puntuació),,,,,Nivell de seguretat a la ciutat (puntuació),,,,
Districtes,2009,2010,2011,2012,2013,2009,2010,2011,2012,2013
BARCELONA,6,1,6,1,6,2,6,3,6,2,5,7,5,6,5,4,5,6,5,7
1. Ciutat Vella,4,9,4,9,4,8,5,2,5,2,5,8,5,5,5,4,5,6,5,6
2. Eixample,6,4,6,4,6,5,6,6,6,7,5,7,5,7,5,5,5,7,5,8
3. Sants-Montjuïc,5,6,5,6,6,0,5,8,5,8,5,7,5,4,5,6,5,6,5,6
4. Les Corts,6,8,6,8,6,9,7,0,6,9,5,6,5,5,5,4,5,7,5,7
5. Sarrià-Sant Gervasi,6,6,6,6,6,5,6,9,6,9,5,5,5,4,5,2,5,6,5,6
6. Gràcia,6,7,6,7,6,8,6,9,6,6,5,7,5,8,5,6,5,8,5,7
7. Horta-Guinardó,6,3,6,3,6,4,6,4,6,3,5,7,5,6,5,3,5,5,5,8
8. Nou Barris,6,0,6,0,6,0,5,8,5,7,5,7,5,7,5,6,5,4,5,6
9. Sant Andreu,6,0,6,0,6,2,6,3,6,0,5,8,5,5,5,5,5,6,5,7
10. Sant Martí,5,9,5,9,6,0,6,1,5,9,5,6,5,5,5,4,5,6,5,6
