Tipus,BARCELONA,1.CiutatVella,2.Eixample,3.Sants-Montjuïc,4.Les Corts,5.Sarrià-S.Gervasi,6.Gràcia,7.Horta-Guinardó,8.NouBarris,9.SantAndreu,10.SantMartí,Unitatsnocturnes dels districtes,Divisiótrànsit (1),Divisió seguretat (1),AltresUnitats
TOTAL,146.326,15.566,8.299,6.639,2.243,813,6.165,1.917,3.350,3.593,13.774,34.739,7.577,33.653,7.998
Ordenança convivència ciutadana,119.680,13.151,4.797,4.932,1.656,167,4.947,1.230,2.099,2.048,12.270,25.868,6.990,31.621,7.904
Ordenança del medi ambient urbà,8.171,425,1.081,339,178,194,274,199,296,508,493,3.147,321,706,10
Ordenança ús vies i espais públics,6.541,1.416,1.318,401,140,62,182,109,225,324,413,1.385,182,340,44
Ordenança protecció,tinença i venda d'animals,1.487,129,177,133,38,64,47,82,152,201,85,92,24,252,11
Ordenança municipal activitats i dels establiments de concurrència pública,278,5,59,5,1,1,1,0,1,0,6,163,0,36,0
Ordenança establiments i centres de comerç alimentaris,1.086,56,75,73,35,47,104,69,70,98,60,317,2,78,2
Ordenança sobre obres,instal·lacions i serveis en el domini públic,400,35,28,34,18,39,98,18,7,33,40,35,1,0,14
Ordenança metropolitana d'edificació,259,50,43,58,11,7,16,18,11,17,15,13,0,0,0
Ordenança de condicions de protecció contra incendis als edificis,555,29,31,27,20,35,103,10,17,46,36,158,2,35,6
Ordenança dels usos del paisatge urbà,389,37,45,22,16,3,7,3,4,77,32,93,11,34,5
Llei horaris comercials,348,39,36,75,8,0,44,8,25,18,7,83,1,4,0
Llei tabac,356,6,16,17,2,11,28,15,12,17,12,203,3,14,0
Condicions higiènico-sanitàries dels aliments,334,19,41,42,4,8,19,11,9,27,8,91,24,31,0
Altres,6.346,166,545,467,116,173,282,140,418,167,291,3.069,13,498,1
Reglament d'explosius,72,3,6,12,0,0,6,0,3,10,5,21,2,4,0
Ordenança sobre establiments de venda d'articles pirotècnics,14,0,1,1,0,0,7,0,1,2,1,1,0,0,0
Zones forestals,7,0,0,1,0,2,0,3,0,0,0,0,1,0,0
Reglament de caça,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Reglament de pesca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
